epitope,(Multiple Items),,,,,,,,
,,,,,,,,,
,Column Labels,,,,,,,,
,0,,,100000,,,Total Average of f1-score,Total StdDev of f1-score,Total Count of f1-score
Row Labels,Average of f1-score,StdDev of f1-score,Count of f1-score,Average of f1-score,StdDev of f1-score,Count of f1-score,,,
clustcr,0.141528023,0.192327917,20,0.008935912,0.008885786,20,0.075231968,0.150223542,40
GIANA,0.156855078,0.153544593,20,0.019952783,0.016906573,20,0.08840393,0.128182172,40
gliph2,0.136655617,0.182344145,20,0.010649416,0.00933846,20,0.073652517,0.142520436,40
hamming,0.151128617,0.129401147,20,0.007298843,0.004276027,20,0.07921373,0.116064297,40
ismart,0.15722918,0.153837503,20,0.020591276,0.017258188,20,0.088910228,0.128303705,40
length,0.08857346,0.043043391,20,0,0,20,0.04428673,0.053983501,40
random,0.057560417,0.030040014,160,0,0,160,0.028780208,0.035786642,320
tcrdist3,0.146272302,0.143688939,20,0.124290655,0.121898056,20,0.135281478,0.1319906,40
vcluster,0.132606679,0.041447114,20,0,0,20,0.06630334,0.073114718,40
Grand Total,0.098208268,0.108445134,320,0.01198243,0.042688237,320,0.055095349,0.092964084,640